"","endpoint","field","data_type","can_query","group","common_name","description"
"67","assignees","ipc_section","string","y","ipcs","Section","Highest hierarchical levels of the IPC corresponding to broad technical fields ( A = Human Necessitites, B = Performing Operations; Transporint, C = Chemistry; Metallurgy, D = Textiles; paper, E = Fixed Constructing, F = Mechanical Engineering; Lighting; Heating; Weapons; Blasting Engines; Pumps, G = Physics, H = Electricity)"
"68","assignees","ipc_subclass","string","y","ipcs","Subclass","Subdivisions IPC class"
"69","assignees","ipc_subgroup","string","y","ipcs","Subgroup","Subdivisions of IPC main group"
"70","assignees","ipc_symbol_position","string","y","ipcs","Position","First or later position of symbols. The position of the first invention information classification can be recognized by this field. The letters ""F"" and ""L"" are used for the first and later position, respectively."
"71","assignees","ipc_total_num_assignees","integer","y","ipcs","Total Number of Assignees","Total number of unique assignees on patents within an IPC class"
"72","assignees","ipc_total_num_inventors","integer","y","ipcs","Total Number of Inventors","Total number of unique inventors on patents within an IPC class"
"73","assignees","ipc_version_indicator","date","n","ipcs","Version Indicator","The version of the IPC classification system"
"74","assignees","location_city","string","y","locations","City","City associated with a location_id"
"75","assignees","location_country","string","y","locations","Country","Country associated with a location_id"
"76","assignees","location_id","string","y","locations","Location ID","Unique location ID generated by the disambiguation algorithm"
"77","assignees","location_latitude","float","n","locations","Latitude","Latitude associated with a location_id"
"78","assignees","location_longitude","float","n","locations","Longitude","Longitude associated with a location_id"
"79","assignees","location_state","string","y","locations","State","State assocaited with a location_id"
"80","assignees","nber_category_id","string","y","nbers","Category ID","National Bureau of Economic Research (NBER) technology category ID (see nber_category_title for details)"
"81","assignees","nber_category_title","string","y","nbers","Category Title","Description of NBER category"
"82","assignees","nber_first_seen_date","date","y","nbers","First Seen Date","Grant date of the earliest patent in the database within a NBER subcategory"
"83","assignees","nber_last_seen_date","date","y","nbers","Last Seen Date","Grant date of the most recent patent in the database within a NBER subcategory"
"84","assignees","nber_num_patents_for_assignee","integer","y","nbers","Number of Patents for NBER Subcategory","Number of patents within a NBER subcategory for a given assignee"
"85","assignees","nber_subcategory_id","string","y","nbers","Subcategory ID","NBER subcategory ID (see nber_subcategory_title for details)"
"86","assignees","nber_subcategory_title","string","y","nbers","Subcategory Title","Description of NBER subcategory"
"87","assignees","nber_total_num_assignees","integer","y","nbers","Total Number of Assignees","Total number of unique assignees on patents within a NBER subcategory"
"88","assignees","nber_total_num_inventors","integer","y","nbers","Total Number of Inventors","Total number of unique inventors on patents within a NBER subcategory"
"89","assignees","nber_total_num_patents","integer","y","nbers","Total Number of Patents","Total number of patents within a NBER subcategory"
"90","assignees","patent_abstract","fulltext","n","patents","Abstract","Abstract of the patent"
"91","assignees","patent_date","date","y","patents","Grant Date","Date patent was granted"
"92","assignees","patent_firstnamed_assignee_city","string","y","patents","First Named Assignee City","City of the location of the first-named (i.e. first in the list) assignee on the patent"
"93","assignees","patent_firstnamed_assignee_country","string","y","patents","First Named Assignee Country","Country of the location of the first-named (i.e. first in the list) assignee on the patent"
"94","assignees","patent_firstnamed_assignee_id","string","y","patents","First Named Assignee ID","Assignee ID (assignee_id) for the first-named (i.e. first in the list) assignee on the patent"
"95","assignees","patent_firstnamed_assignee_latitude","float","n","patents","First Named Assignee Latitude","Latitude of the location of the first-named (i.e. first in the list) assignee on the patent"
"96","assignees","patent_firstnamed_assignee_location_id","string","y","patents","First Named Assignee Location ID","Unique database ID for the location of the first-named (i.e. first in the list) assignee on the patent"
